[MET:0][INFO] KSCLog initialized
[MET:0][INFO] localLog initialized
[MET:0][INFO] [lib_tag.ks] Loading library
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4291930536, proceduralTankLiquid, tank.procedural.lfo]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4291930456, liquidEngine2, engine.lfo]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4291930056, AM.MLP.SmallLaunchStand, launch.stand]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292084950, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292849314, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292849260, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292849206, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292091800, HighGainAntenna5, comm.dish]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292038588, HighGainAntenna5, comm.dish]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292075474, KR-2042, control.kos.cpu]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4291966800, ShroudedDecoupler, decoupler]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4291987432, proceduralNoseCone, aero.cone]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292016040, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292854050, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292853996, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292853942, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292853888, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292853834, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292853780, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292853726, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292844994, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292843694, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292843640, solarPanels5, power.solar.fixed]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4292843586, solarPanels5, power.solar.fixed]
[MET:0][INFO] [tag_parts_by_title] Tagging completed, writing updates to tag_ref
[MET:112548.76][INFO] KSCLog re-initialized
[MET:0][WARN] [recover science] No science value from transmitting data
[MET:6.62][WARN] [recover science] No science value from transmitting data
[MET:253.46][WARN] [recover science] No science value from transmitting data
[MET:1811.185][WARN] [recover science] No science value from transmitting data
[MET:112548.76][INFO] localLog re-initialized
[MET:112548.82][INFO] [lib_tag.ks] Loading library
[MET:112616.06][INFO] KSCLog re-initialized
[MET:112549.18][WARN] [tag_parts_by_title] Part already tagged [4292096544, probeCoreOcto.v2 (CommSat 1), command.drone.core]
[MET:112549.2][WARN] [tag_parts_by_title] Part already tagged [4292086364, SurfAntenna, comm.omni]
[MET:112549.2][WARN] [tag_parts_by_title] Part already tagged [4292085796, SurfAntenna, comm.omni]
[MET:112549.22][WARN] [tag_parts_by_title] Part already tagged [4292079910, sasModule, control.rw]
[MET:112549.24][WARN] [tag_parts_by_title] Part already tagged [4292081570, batteryBankMini, power.battery]
[MET:112549.24][WARN] [tag_parts_by_title] Part already tagged [4292084950, solarPanels5, power.solar.fixed]
[MET:112549.26][WARN] [tag_parts_by_title] Part already tagged [4292849314, solarPanels5, power.solar.fixed]
[MET:112549.26][WARN] [tag_parts_by_title] Part already tagged [4292849260, solarPanels5, power.solar.fixed]
[MET:112549.28][WARN] [tag_parts_by_title] Part already tagged [4292849206, solarPanels5, power.solar.fixed]
[MET:112549.3][WARN] [tag_parts_by_title] Part already tagged [4292091800, HighGainAntenna5, comm.dish]
[MET:112549.3][WARN] [tag_parts_by_title] Part already tagged [4292038588, HighGainAntenna5, comm.dish]
[MET:112549.32][WARN] [tag_parts_by_title] Part already tagged [4292075474, KR-2042, control.kos.cpu]
[MET:112549.34][WARN] [tag_parts_by_title] Part already tagged [4292016040, solarPanels5, power.solar.fixed]
[MET:112549.34][WARN] [tag_parts_by_title] Part already tagged [4292854050, solarPanels5, power.solar.fixed]
[MET:112549.36][WARN] [tag_parts_by_title] Part already tagged [4292853996, solarPanels5, power.solar.fixed]
[MET:112549.36][WARN] [tag_parts_by_title] Part already tagged [4292853942, solarPanels5, power.solar.fixed]
[MET:112549.38][WARN] [tag_parts_by_title] Part already tagged [4292853888, solarPanels5, power.solar.fixed]
[MET:112549.4][WARN] [tag_parts_by_title] Part already tagged [4292853834, solarPanels5, power.solar.fixed]
[MET:112549.4][WARN] [tag_parts_by_title] Part already tagged [4292853780, solarPanels5, power.solar.fixed]
[MET:112549.42][WARN] [tag_parts_by_title] Part already tagged [4292853726, solarPanels5, power.solar.fixed]
[MET:112549.42][WARN] [tag_parts_by_title] Part already tagged [4292844994, solarPanels5, power.solar.fixed]
[MET:112549.44][WARN] [tag_parts_by_title] Part already tagged [4292843694, solarPanels5, power.solar.fixed]
[MET:112549.46][WARN] [tag_parts_by_title] Part already tagged [4292843640, solarPanels5, power.solar.fixed]
[MET:112549.46][WARN] [tag_parts_by_title] Part already tagged [4292843586, solarPanels5, power.solar.fixed]
[MET:112549.48][INFO] [tag_parts_by_title] Tagging completed, writing updates to tag_ref
[MET:112616.06][INFO] localLog re-initialized
[MET:112616.1][INFO] [lib_tag.ks] Loading library
[MET:115038.636][INFO] KSCLog re-initialized
[MET:115038.636][INFO] localLog re-initialized
[MET:115098.636][INFO] [lib_tag.ks] Loading library
[MET:116811.194][INFO] KSCLog re-initialized
[MET:115543.68][WARN] [tag_parts_by_title] Part already tagged [4292096544, probeCoreOcto.v2 (CommSat 1), command.drone.core]
[MET:115583.499][WARN] [tag_parts_by_title] Part already tagged [4292086364, SurfAntenna, comm.omni]
[MET:115626.922][WARN] [tag_parts_by_title] Part already tagged [4292085796, SurfAntenna, comm.omni]
