MissionName,MissionTime,Altitude,Pressure(Atm),Pressure(kPa)
Prodigal A-II,395.883,136078.721499882,1.55451112683488E-09,1.57510839926545E-07
Prodigal A-II,395.943,136022.974734174,1.59724817740302E-09,1.61841171575361E-07
Prodigal A-II,396.003,135967.196127687,1.64052378886044E-09,1.66226072906284E-07
Prodigal A-II,396.123,135855.543390285,1.72874679453574E-09,1.75165268956334E-07
Prodigal A-II,396.183,135799.669261367,1.77368296873511E-09,1.79718426807085E-07
Prodigal A-II,396.243,135743.763304799,1.81916667983858E-09,1.84327063834644E-07
Prodigal A-II,396.303,135687.825525237,1.86519568384244E-09,1.88990952665336E-07
Prodigal A-II,396.363,135631.855922018,1.9117699807467E-09,1.9371009329916E-07
Prodigal A-II,396.423,135575.854494303,1.95888732654766E-09,1.98484258362441E-07
Prodigal A-II,396.483,135519.821241319,2.00654996524901E-09,2.03313675228856E-07
Prodigal A-II,396.543,135463.756165351,2.05476462886187E-09,2.08199026019429E-07
Prodigal A-II,396.663,135351.530575101,2.15278271071097E-09,2.18130708162789E-07
Prodigal A-II,396.723,135295.370058727,2.20259959296944E-09,2.23178403757629E-07
Prodigal A-II,396.783,135239.17774333,2.25296850013943E-09,2.28282033276628E-07
Prodigal A-II,396.843,135182.953631245,2.30385577216535E-09,2.33438186114654E-07
Prodigal A-II,396.903,135126.697726822,2.35527711707314E-09,2.38648453887436E-07
Prodigal A-II,396.963,135070.410025161,2.40724375488132E-09,2.4391397346335E-07
Prodigal A-II,397.023,135014.09052154,2.45972651354173E-09,2.49231788984616E-07
Prodigal A-II,397.083,134957.739198791,2.51275456510254E-09,2.54604856309015E-07
Prodigal A-II,397.143,134901.356056867,2.56629424950817E-09,2.60029764831415E-07
Prodigal A-II,397.263,134788.494350156,2.67496910495392E-09,2.71041244559456E-07
Prodigal A-II,397.323,134732.015781471,2.73010203199033E-09,2.7662758839142E-07
Prodigal A-II,397.383,134675.505396138,2.78575781189009E-09,2.82266910289763E-07
Prodigal A-II,397.443,134618.96318855,2.84191624861985E-09,2.87957163891406E-07
Prodigal A-II,397.503,134562.38915035,2.89861324623888E-09,2.93701987175155E-07
Prodigal A-II,397.563,134505.78325931,2.95582860871385E-09,2.99499333777931E-07
Prodigal A-II,397.623,134449.145513895,3.01356009204104E-09,3.05348976326059E-07
Prodigal A-II,397.683,134392.475915097,3.07180769622046E-09,3.11250914819539E-07
Prodigal A-II,397.803,134279.041153561,3.18983107110264E-09,3.23209633279475E-07
Prodigal A-II,397.863,134222.275985732,3.24961806182393E-09,3.29267550114309E-07
Prodigal A-II,397.923,134165.478958174,3.30991444138632E-09,3.35377080773469E-07
Prodigal A-II,397.983,134108.650094152,3.37072020978983E-09,3.41538225256954E-07
Prodigal A-II,398.043,134051.789399386,3.43203536703445E-09,3.47750983564765E-07
Prodigal A-II,398.103,133994.89686716,3.4938711331387E-09,3.54016492565279E-07
Prodigal A-II,398.163,133937.972481656,3.55619609205072E-09,3.60331569027039E-07
Prodigal A-II,398.223,133881.016233106,3.61902370779273E-09,3.66697577192099E-07
Prodigal A-II,398.343,133767.008209954,3.74617793375193E-09,3.79581479137414E-07
Prodigal A-II,398.403,133709.956455465,3.81052474000246E-09,3.86101419280749E-07
Prodigal A-II,398.463,133652.872863788,3.87534727503851E-09,3.92669562643277E-07
Prodigal A-II,398.523,133595.757417476,3.9406859309268E-09,3.99290001951158E-07
Prodigal A-II,398.583,133538.610107212,4.00650031560062E-09,4.05958644478233E-07
Prodigal A-II,398.643,133481.430932263,4.0728061370859E-09,4.12677081840229E-07
Prodigal A-II,398.703,133424.219891897,4.1396213474123E-09,4.19447133026551E-07
Prodigal A-II,398.763,133366.976981624,4.20690779851682E-09,4.26264932684717E-07
Prodigal A-II,398.823,133309.702200273,4.27470139445874E-09,4.33134118793532E-07
Prodigal A-II,398.943,133195.057023044,4.41172923672142E-09,4.47018464910798E-07
Prodigal A-II,399.003,133137.686630599,4.4809769470644E-09,4.540349891613E-07
Prodigal A-II,399.063,133080.284370191,4.55070711820403E-09,4.61100398752023E-07
Prodigal A-II,399.123,133022.850240837,4.62091975014031E-09,4.68214693682967E-07
Prodigal A-II,399.183,132965.384237414,4.69159015883247E-09,4.753753728437E-07
Prodigal A-II,399.243,132907.886357412,4.76275649234352E-09,4.82586301586707E-07
Prodigal A-II,399.303,132850.356599978,4.8344007986438E-09,4.89845660922583E-07
Prodigal A-II,399.363,132792.794972111,4.9065163457222E-09,4.97152768730302E-07
Prodigal A-II,399.483,132677.57610077,5.05216677222263E-09,5.11910798195458E-07
Prodigal A-II,399.543,132619.918866728,5.12569491963355E-09,5.19361037731869E-07
Prodigal A-II,399.603,132562.229759586,5.19969206381887E-09,5.26858798366447E-07
Prodigal A-II,399.663,132504.50877891,5.27415596077491E-09,5.34403852725518E-07
Prodigal A-II,399.723,132446.755924216,5.3491045625313E-09,5.41998019798484E-07
Prodigal A-II,399.783,132388.971194775,5.42449411101579E-09,5.49636865798675E-07
Prodigal A-II,399.843,132331.154590095,5.50034592426358E-09,5.57322550776007E-07
Prodigal A-II,399.903,132273.306109671,5.57665551426726E-09,5.6505461998313E-07
Prodigal A-II,400.023,132157.513527656,5.73066934257748E-09,5.80660071136663E-07
Prodigal A-II,400.083,132099.56943328,5.80837021487846E-09,5.8853311202256E-07
Prodigal A-II,400.143,132041.593469617,5.88650193589087E-09,5.96449808654143E-07
Prodigal A-II,400.203,131983.585627991,5.9651048976814E-09,6.04414253757568E-07
Prodigal A-II,400.263,131925.54590715,6.0441375861815E-09,6.12422240919841E-07
Prodigal A-II,400.323,131867.474307089,6.12363702745232E-09,6.20477521806606E-07
Prodigal A-II,400.383,131809.370826897,6.20356282942714E-09,6.28576003691705E-07
Prodigal A-II,400.443,131751.235466249,6.28395426217083E-09,6.36721665614459E-07
Prodigal A-II,400.503,131693.068224616,6.36478776364446E-09,6.44912120151275E-07
Prodigal A-II,400.623,131576.638079293,6.52775404473712E-09,6.61424678582989E-07
Prodigal A-II,400.683,131518.375179969,6.60990477638579E-09,6.6974860146729E-07
Prodigal A-II,400.743,131460.080397678,6.6924908447533E-09,6.78116634844628E-07
Prodigal A-II,400.803,131401.75373156,6.77551112783778E-09,6.86528665028163E-07
Prodigal A-II,400.863,131343.395181119,6.85896338163554E-09,6.94984464644222E-07
Prodigal A-II,400.923,131285.004745629,6.94284536214288E-09,7.03483806319127E-07
Prodigal A-II,400.983,131226.582424813,7.02715594735793E-09,7.12026576366043E-07
Prodigal A-II,401.043,131168.128218116,7.11189401527886E-09,7.2061266109813E-07
Prodigal A-II,401.163,131051.124144518,7.28264025721792E-09,7.37913524062606E-07
Prodigal A-II,401.223,130992.574276617,7.36864618723235E-09,7.46628074921318E-07
